product,url
AY641_WQ9876,/data/v1/CA/products/full/AY641/c/shops/reimagined/dresses_jumpsuits
AY632_YD0015,/data/v1/CA/products/full/AY632/c/womens_category/dressesandjumpsuits
AY720_YD0030,/data/v1/CA/products/full/AY720/c/shops/reimagined/shirts_tops
AY718_YD0020,/data/v1/CA/products/full/AY718/c/shops/reimagined/shirts_tops
AY736_YD0030,/data/v1/CA/products/full/AY736/c/shops/reimagined/shirts_tops
AY679_PT0032,/data/v1/CA/products/full/AY679/c/shops/reimagined/shirts_tops
AY839_BL6855,/data/v1/CA/products/full/AY839/c/shops/reimagined/dresses_jumpsuits
AY734_WT0002,/data/v1/CA/products/full/AY734/c/shops/reimagined/shirts_tops
AY863_YD0053,/data/v1/CA/products/full/AY863/c/womens_category/dressesandjumpsuits
AY730_YD0019,/data/v1/CA/products/full/AY730/c/shops/reimagined/shirts_tops
AY628_SU7836,/data/v1/CA/products/full/AY628/c/shops/reimagined/dresses_jumpsuits
AY678_PT0013,/data/v1/CA/products/full/AY678/c/shops/reimagined/shirts_tops
AY658_WQ9876,/data/v1/CA/products/full/AY658/c/shops/reimagined/shirts_tops
AY659_WQ9877,/data/v1/CA/products/full/AY659/c/shops/reimagined/shirts_tops
BB257_PK0044,/data/v1/CA/products/full/BB257/c/womens_category/shirts_tops
AY634_WQ9885,/data/v1/CA/products/full/AY634/c/shops/linen_shop/womens
AY668_WQ9890,/data/v1/CA/products/full/AY668/c/shops/linen_shop/womens
AY583_PT0040,/data/v1/CA/products/full/AY583/c/shops/reimagined/dresses_jumpsuits
AY916_YL5673,/data/v1/CA/products/full/AY916/c/shops/the_summer_weddings_shop/womens
AY834_BL8133,/data/v1/CA/products/full/AY834/c/shops/summer_deals/dresses
AZ119_YD0033,/data/v1/CA/products/full/AZ119/c/shops/linen_shop/womens
AY623_WT0002,/data/v1/CA/products/full/AY623/c/shops/linen_shop/womens
AY687_WY7588,/data/v1/CA/products/full/AY687/c/shops/reimagined/shirts_tops
AY732_YD0007,/data/v1/CA/products/full/AY732/c/shops/reimagined/shirts_tops
AY684_YD0055,/data/v1/CA/products/full/AY684/c/shops/reimagined/shirts_tops
AZ121_DM5474,/data/v1/CA/products/full/AZ121/c/womens_category/shirts_tops
AY741_YD0016,/data/v1/CA/products/full/AY741/c/shops/reimagined/shirts_tops
AX974_WT0002,/data/v1/CA/products/full/AX974/c/shops/reimagined/dresses_jumpsuits
AY880_PT0028,/data/v1/CA/products/full/AY880/c/shops/reimagined/dresses_jumpsuits
AY861_BK0001,/data/v1/CA/products/full/AY861/c/shops/reimagined/dresses_jumpsuits
AY642_WY7588,/data/v1/CA/products/full/AY642/c/shops/reimagined/dresses_jumpsuits
AY676_YD0052,/data/v1/CA/products/full/AY676/c/shops/reimagined/shirts_tops
AY724_PT0028,/data/v1/CA/products/full/AY724/c/shops/reimagined/shirts_tops
AY918_OR6286,/data/v1/CA/products/full/AY918/c/shops/the_summer_weddings_shop/womens
AY728_NA6354,/data/v1/CA/products/full/AY728/c/shops/reimagined/shirts_tops
AY742_WT0002,/data/v1/CA/products/full/AY742/c/shops/reimagined/shirts_tops
AY640_WQ9877,/data/v1/CA/products/full/AY640/c/shops/reimagined/dresses_jumpsuits
AY716_YD0006,/data/v1/CA/products/full/AY716/c/shops/reimagined/shirts_tops
AX975_BK0001,/data/v1/CA/products/full/AX975/c/shops/reimagined/dresses_jumpsuits
AY868_YD0038,/data/v1/CA/products/full/AY868/c/womens_category/dressesandjumpsuits
AY922_PK6100,/data/v1/CA/products/full/AY922/c/shops/the_summer_weddings_shop/womens
AY656_WQ9875,/data/v1/CA/products/full/AY656/c/shops/reimagined/shirts_tops
AY884_WQ9890,/data/v1/CA/products/full/AY884/c/womens_category/dressesandjumpsuits
AY836_GR7637,/data/v1/CA/products/full/AY836/c/shops/summer_deals/dresses
AY920_OR6286,/data/v1/CA/products/full/AY920/c/shops/the_summer_weddings_shop/womens
AY675_BL6855,/data/v1/CA/products/full/AY675/c/shops/reimagined/shirts_tops
AY405_YD0006,/data/v1/CA/products/full/AY405/c/shops/reimagined/dresses_jumpsuits
AY399_PT0031,/data/v1/CA/products/full/AY399/c/womens_category/dressesandjumpsuits
AY835_BL7377,/data/v1/CA/products/full/AY835/c/shops/summer_deals/dresses
AY674_WT0002,/data/v1/CA/products/full/AY674/c/shops/reimagined/shirts_tops
AY406_YL5690,/data/v1/CA/products/full/AY406/c/shops/reimagined/dresses_jumpsuits
AY866_PT0030,/data/v1/CA/products/full/AY866/c/shops/reimagined/dresses_jumpsuits
AY691_DM5306,/data/v1/CA/products/full/AY691/c/shops/summer_deals/shirtstops
AY743_BR6053,/data/v1/CA/products/full/AY743/c/shops/reimagined/shirts_tops
AY713_PT0016,/data/v1/CA/products/full/AY713/c/shops/reimagined/shirts_tops
AY869_WQ1667,/data/v1/CA/products/full/AY869/c/shops/reimagined/dresses_jumpsuits
AY708_PR5340,/data/v1/CA/products/full/AY708/c/womens_category/dressesandjumpsuits
AY917_PT0010,/data/v1/CA/products/full/AY917/c/shops/the_summer_weddings_shop/womens
AY867_PT0020,/data/v1/CA/products/full/AY867/c/womens_category/dressesandjumpsuits
AY883_WT0002,/data/v1/CA/products/full/AY883/c/shops/reimagined/dresses_jumpsuits
AY686_PR5340,/data/v1/CA/products/full/AY686/c/shops/reimagined/shirts_tops
AY745_WT0002,/data/v1/CA/products/full/AY745/c/shops/reimagined/shirts_tops
AY692_WT0002,/data/v1/CA/products/full/AY692/c/shops/summer_deals/shirtstops
AY740_WQ1667,/data/v1/CA/products/full/AY740/c/shops/reimagined/shirts_tops
AZ767_WY4976,/data/v1/CA/products/full/AZ767/c/shops/reimagined/shirts_tops
AY862_PT0035,/data/v1/CA/products/full/AY862/c/shops/the_summer_weddings_shop/womens
AY665_BL8227,/data/v1/CA/products/full/AY665/c/shops/linen_shop/womens
AY629_BL8922,/data/v1/CA/products/full/AY629/c/womens_category/dressesandjumpsuits
AY735_YD0032,/data/v1/CA/products/full/AY735/c/shops/reimagined/shirts_tops
AY838_BK0001,/data/v1/CA/products/full/AY838/c/shops/reimagined/dresses_jumpsuits
AY923_PT0022,/data/v1/CA/products/full/AY923/c/shops/the_summer_weddings_shop/womens
AY662_WQ9875,/data/v1/CA/products/full/AY662/c/shops/reimagined/shirts_tops
AY914_BK0001,/data/v1/CA/products/full/AY914/c/shops/reimagined/dresses_jumpsuits
AY671_WT0002,/data/v1/CA/products/full/AY671/c/womens_category/shirts_tops
AY404_BL8133,/data/v1/CA/products/full/AY404/c/shops/reimagined/dresses_jumpsuits
AZ876_PT0007,/data/v1/CA/products/full/AZ876/c/shops/reimagined/dresses_jumpsuits
AY403_PT0001,/data/v1/CA/products/full/AY403/c/shops/reimagined/dresses_jumpsuits
AY673_WQ9580,/data/v1/CA/products/full/AY673/c/shops/summer_deals/shirtstops
AY722_PT0027,/data/v1/CA/products/full/AY722/c/shops/reimagined/shirts_tops
AZ117_PT0013,/data/v1/CA/products/full/AZ117/c/shops/reimagined/shirts_tops
AY747_YD0043,/data/v1/CA/products/full/AY747/c/shops/reimagined/shirts_tops
AY626_NA6549,/data/v1/CA/products/full/AY626/c/shops/reimagined/dresses_jumpsuits
AZ771_PT0028,/data/v1/CA/products/full/AZ771/c/shops/reimagined/shirts_tops
AY682_NA6434,/data/v1/CA/products/full/AY682/c/shops/reimagined/shirts_tops
